GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
template service,com.qbitum.template.server.api,V2Api,13,0,0,0,2,0,2,0,2,0
template service,com.qbitum.template.server.api,V1ApiDelegate,82,0,8,0,19,0,7,0,3,0
template service,com.qbitum.template.server.api,V2Api.new V2ApiDelegate() {...},6,0,0,0,1,0,1,0,1,0
template service,com.qbitum.template.server.api,V2ApiController.new V2ApiDelegate() {...},0,6,0,0,0,1,0,1,0,1
template service,com.qbitum.template.server.api,V2ApiController,3,13,0,0,1,3,1,1,1,1
template service,com.qbitum.template.server.api,V1ApiController,3,13,0,0,1,3,1,1,1,1
template service,com.qbitum.template.server.api,V1ApiController.new V1ApiDelegate() {...},0,6,0,0,0,1,0,1,0,1
template service,com.qbitum.template.server.api,ApiUtil,25,0,0,0,6,0,2,0,2,0
template service,com.qbitum.template.server.api,V2ApiDelegate,41,0,4,0,10,0,4,0,2,0
template service,com.qbitum.template.server.api,V1Api,23,0,0,0,3,0,3,0,3,0
template service,com.qbitum.template.server.api,V1Api.new V1ApiDelegate() {...},6,0,0,0,1,0,1,0,1,0
template service,com.qbitum.template.client.auth,HttpBasicAuth,50,0,8,0,12,0,10,0,6,0
template service,com.qbitum.template.client.auth,HttpBearerAuth,41,0,6,0,11,0,8,0,5,0
template service,com.qbitum.template.client.auth,ApiKeyAuth,79,0,10,0,24,0,13,0,8,0
template service,com.qbitum.template.api,SampleController,23,7,0,0,2,2,2,2,2,2
template service,com.qbitum.template.dto.request,SampleRequest,3,0,0,0,1,0,1,0,1,0
template service,com.qbitum.template.delegate.v1,TemplateSampleDelegateV1,129,7,4,0,28,2,7,2,5,2
template service,com.qbitum.template.Model,SampleModel,3,0,0,0,1,0,1,0,1,0
template service,com.qbitum.template.Model,PermissionModel,75,0,14,0,3,0,14,0,7,0
template service,com.qbitum.template.delegate.v2,TemplateSampleDelegateV2,39,7,0,0,9,2,2,2,2,2
template service,com.qbitum.template,TemplateApplication,5,7,0,0,2,2,1,2,1,2
template service,com.qbitum.template.security,SecurityConfig,0,8,0,0,0,2,0,2,0,2
template service,com.qbitum.template.exception.handler,DelegateExceptionHandler,127,7,10,0,43,2,6,2,1,2
template service,com.qbitum.template.exception.handler,ServerErrorExceptionHandler,112,7,10,0,34,2,6,2,1,2
template service,com.qbitum.template.client.model,WeatherInfo,121,0,12,0,29,0,17,0,11,0
template service,com.qbitum.template.server.model,SampleData,167,0,14,0,41,0,22,0,15,0
template service,com.qbitum.template.server.model,SampleResponse,226,0,18,0,53,0,28,0,19,0
template service,com.qbitum.template.server.model,ServerErrorResponse,235,0,18,0,55,0,30,0,21,0
template service,com.qbitum.template.server.model,SampleRequest,155,0,14,0,38,0,20,0,13,0
template service,com.qbitum.template.exception,DelegateResponseException,150,0,6,0,52,0,13,0,10,0
template service,com.qbitum.template.exception,ServerErrorException,145,0,4,0,49,0,13,0,11,0
template service,com.qbitum.template.controller,Fruit,124,0,22,0,6,0,21,0,10,0
template service,com.qbitum.template.controller,FruitController,12,6,0,0,3,3,3,1,3,1
template service,com.qbitum.template.dao.impl,SampleDaoImpl,3,0,0,0,1,0,1,0,1,0
template service,com.qbitum.template.exception.enums,ServerError,92,0,0,0,16,0,4,0,4,0
template service,com.qbitum.template.dto.response,SampleResponse,3,0,0,0,1,0,1,0,1,0
template service,com.qbitum.template.configurations,WebClientConfig,0,7,0,0,0,3,0,3,0,3
template service,com.qbitum.template.configurations,SampleConfig,6,11,0,0,2,2,2,3,2,3
template service,com.qbitum.template.configurations,AspectConfig,0,7,0,0,0,2,0,2,0,2
template service,com.qbitum.template.configurations,OpaConfig,3,7,0,0,1,2,1,2,1,2
template service,com.qbitum.template.configurations,SwaggerConfig,11,20,0,0,3,8,1,2,1,2
template service,com.qbitum.template.utility,SourcePath,85,0,6,0,26,0,8,0,5,0
template service,com.qbitum.template.utility,ReadJwt,65,0,0,0,20,0,3,0,3,0
template service,com.qbitum.template.client,ApiClient,1056,0,126,0,241,0,113,0,50,0
template service,com.qbitum.template.client,ServerVariable,15,0,0,0,6,0,1,0,1,0
template service,com.qbitum.template.client,RFC3339DateFormat,50,0,0,0,12,0,6,0,6,0
template service,com.qbitum.template.client,ApiClient.CollectionFormat,51,0,0,0,6,0,3,0,3,0
template service,com.qbitum.template.client,StringUtil,101,0,18,0,22,0,13,0,4,0
template service,com.qbitum.template.client,JavaTimeFormatter,29,0,0,0,9,0,5,0,5,0
template service,com.qbitum.template.client,ServerConfiguration,78,0,10,0,18,0,8,0,3,0
template service,com.qbitum.template.annotations.aspect,AnnotationCombinationAspect,95,7,0,0,20,2,5,2,5,2
template service,com.qbitum.template.annotations.aspect,BaseAspect,320,7,4,0,84,2,13,2,11,2
template service,com.qbitum.template.annotations.aspect,LogExecutionAspect,122,7,6,0,28,2,8,2,5,2
template service,com.qbitum.template.annotations.aspect,GetOpaAuthAspect,388,10,36,0,102,4,28,2,10,2
template service,com.qbitum.template.service.impl,SampleServiceImpl,0,7,0,0,0,2,0,2,0,2
template service,com.qbitum.template.client.api,WeatherInfoApi.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
template service,com.qbitum.template.client.api,WeatherInfoApi.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
template service,com.qbitum.template.client.api,WeatherInfoApi.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
template service,com.qbitum.template.client.api,WeatherInfoApi,158,0,4,0,32,0,10,0,8,0
